EmployeeID,Age,Attrition,Department,DistanceFromHome,EducationField,Gender,JobRole,MaritalStatus,State,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,LevelofEducation,LevelofJob,JobSatisfaction,PerformanceRating
1591,50,No,Sales,9,Marketing,Male,Manager,Married,Connecticut,19331,4,Yes,16,27,1,0,0,Bachelors,Senior Management,High,Excellent
1789,46,No,Research & Development,2,Medical,Male,Research Director,Divorced,New York,19328,7,Yes,17,24,2,1,2,Masters,Senior Management,Very High,Excellent
444,39,No,Research & Development,7,Medical,Male,Manager,Married,New York,19272,1,No,15,21,21,9,13,College,Senior Management,Very High,Excellent
825,58,Yes,Research & Development,2,Life Sciences,Male,Research Director,Single,Florida,19246,7,Yes,12,40,31,15,13,Masters,Senior Management,Medium,Excellent
1061,50,No,Research & Development,2,Medical,Male,Research Director,Married,Mississippi,19237,2,Yes,11,29,8,1,7,Masters,Senior Management,High,Excellent
319,42,No,Research & Development,4,Technical Degree,Male,Manager,Married,Hawaii,19232,1,No,11,22,22,17,11,College,Senior Management,Very High,Excellent
336,45,No,Research & Development,1,Other,Male,Manager,Married,Washington,19202,0,No,11,25,24,0,1,Bachelors,Senior Management,Very High,Excellent
531,39,No,Research & Development,1,Life Sciences,Male,Manager,Divorced,Kansas,19197,1,Yes,14,21,21,8,1,College,Senior Management,High,Excellent
1288,44,No,Research & Development,4,Life Sciences,Male,Manager,Divorced,New York,19190,1,No,14,26,25,9,14,College,Senior Management,Low,Excellent
734,41,No,Human Resources,1,Human Resources,Male,Manager,Married,New Mexico,19189,1,No,12,22,22,7,2,Bachelors,Senior Management,High,Excellent
1336,55,No,Research & Development,2,Medical,Female,Manager,Married,Arizona,19187,4,No,14,23,19,9,9,College,Senior Management,High,Excellent
1941,49,No,Research & Development,2,Life Sciences,Male,Research Director,Married,Nevada,19161,3,No,15,28,5,4,4,College,Senior Management,Very High,Excellent
385,50,No,Research & Development,4,Life Sciences,Male,Research Director,Divorced,New York,19144,3,No,14,28,10,4,1,College,Senior Management,Medium,Excellent
731,41,No,Human Resources,10,Human Resources,Male,Manager,Divorced,Connecticut,19141,3,No,15,23,21,6,12,Masters,Senior Management,Very High,Excellent
32,53,No,Research & Development,5,Other,Female,Manager,Divorced,New Jersey,19094,4,No,11,26,14,13,4,Bachelors,Senior Management,High,Excellent
1217,46,No,Research & Development,15,Life Sciences,Male,Research Director,Married,Tennessee,19081,5,No,11,25,4,2,0,College,Senior Management,Medium,Excellent
329,52,No,Sales,2,Life Sciences,Male,Manager,Single,Texas,19068,1,Yes,18,33,33,7,15,Masters,Senior Management,High,Excellent
1608,44,No,Research & Development,7,Medical,Female,Research Director,Divorced,North Carolina,19049,0,Yes,14,23,22,7,1,Bachelors,Senior Management,Very High,Excellent
374,55,No,Research & Development,1,Medical,Male,Manager,Single,Oregon,19045,0,Yes,14,37,36,10,4,Bachelors,Senior Management,Low,Excellent
1770,55,No,Research & Development,2,Medical,Male,Research Director,Married,South Carolina,19038,8,No,12,34,1,0,0,Bachelors,Senior Management,Low,Excellent
253,40,No,Research & Development,4,Medical,Female,Manager,Married,Delaware,19033,1,No,14,21,20,8,9,College,Senior Management,High,Excellent
38,46,No,Sales,2,Marketing,Female,Manager,Single,New York,18947,3,No,12,22,2,2,2,Masters,Senior Management,Low,Excellent
2031,42,No,Research & Development,2,Life Sciences,Male,Manager,Married,Arizona,18880,5,No,11,24,22,6,4,Bachelors,Senior Management,High,Excellent
140,59,No,Human Resources,2,Human Resources,Female,Manager,Married,Oklahoma,18844,9,No,21,30,3,2,2,Masters,Senior Management,Very High,Outstanding
1277,45,Yes,Sales,2,Marketing,Female,Manager,Single,Washington,18824,2,Yes,16,26,24,10,1,Bachelors,Senior Management,Medium,Excellent
1280,46,No,Sales,4,Marketing,Female,Manager,Married,Arizona,18789,2,No,14,26,11,4,0,College,Senior Management,Medium,Excellent
80,50,No,Research & Development,7,Medical,Female,Research Director,Divorced,Washington,18740,5,Yes,12,29,27,3,13,College,Senior Management,High,Excellent
254,55,No,Research & Development,14,Medical,Male,Research Director,Single,New York,18722,8,No,11,36,24,15,2,Masters,Senior Management,Medium,Excellent
1256,49,No,Research & Development,4,Medical,Male,Manager,Married,North Carolina,18711,2,No,13,23,1,0,0,College,Senior Management,High,Excellent
396,49,No,Research & Development,10,Life Sciences,Female,Research Director,Single,Iowa,18665,9,Yes,11,22,3,2,1,Masters,Senior Management,Low,Excellent
1201,53,No,Research & Development,7,Medical,Female,Manager,Divorced,California,18606,3,No,18,26,7,7,4,College,Senior Management,High,Excellent
809,42,No,Research & Development,8,Life Sciences,Male,Manager,Divorced,New York,18430,1,No,13,24,24,7,14,Bachelors,Senior Management,Very High,Excellent
1029,42,No,Sales,5,Marketing,Male,Manager,Married,California,18303,6,No,13,21,1,0,0,College,Senior Management,High,Excellent
447,47,No,Research & Development,5,Life Sciences,Male,Research Director,Married,Tennessee,18300,4,No,11,21,3,2,1,Doctorate,Senior Management,High,Excellent
1263,48,No,Research & Development,1,Life Sciences,Male,Research Director,Single,New Jersey,18265,6,No,12,25,1,0,0,Bachelors,Senior Management,Very High,Excellent
1267,44,No,Sales,5,Marketing,Male,Manager,Married,Ohio,18213,7,No,11,26,22,9,3,Bachelors,Senior Management,Medium,Excellent
644,50,No,Human Resources,3,Medical,Male,Manager,Married,Delaware,18200,1,No,11,32,32,5,10,Bachelors,Senior Management,Medium,Excellent
141,50,No,Research & Development,1,Life Sciences,Female,Research Director,Married,Arizona,18172,3,Yes,19,28,8,3,0,Bachelors,Senior Management,Medium,Excellent
1306,45,No,Research & Development,25,Medical,Female,Manager,Single,Kansas,18061,3,No,22,22,0,0,0,Bachelors,Senior Management,Medium,Outstanding
558,40,No,Sales,2,Life Sciences,Female,Manager,Married,Maryland,18041,0,No,14,21,20,15,1,Masters,Senior Management,High,Excellent
905,50,No,Research & Development,2,Life Sciences,Male,Manager,Divorced,Michigan,17924,1,No,11,31,31,6,14,Masters,Middle Management,Low,Excellent
1938,58,No,Sales,21,Life Sciences,Female,Manager,Married,Wisconsin,17875,4,Yes,13,29,1,0,0,Bachelors,Middle Management,Very High,Excellent
575,46,No,Research & Development,2,Life Sciences,Male,Research Director,Married,Wyoming,17861,6,No,13,26,3,2,0,Bachelors,Middle Management,High,Excellent
1334,42,No,Research & Development,2,Life Sciences,Male,Manager,Married,West Virginia,17861,0,Yes,13,21,20,8,2,College,Middle Management,High,Excellent
1215,50,No,Research & Development,2,Medical,Female,Manager,Married,Colorado,17856,2,No,22,32,2,2,2,Bachelors,Middle Management,Low,Outstanding
1250,54,No,Research & Development,3,Life Sciences,Male,Research Director,Married,Texas,17779,3,No,14,36,10,9,0,Bachelors,Middle Management,Very High,Excellent
1109,42,No,Research & Development,2,Medical,Male,Manager,Married,New York,17665,0,No,17,23,22,6,13,College,Middle Management,Low,Excellent
1045,45,No,Sales,11,Life Sciences,Female,Manager,Married,New York,17650,3,No,13,26,9,3,1,College,Middle Management,Very High,Excellent
815,50,No,Research & Development,2,Medical,Male,Research Director,Married,Nevada,17639,5,No,16,30,4,3,0,Bachelors,Middle Management,High,Excellent
1666,43,No,Research & Development,15,Life Sciences,Male,Research Director,Married,Illinois,17603,1,No,24,14,14,10,6,College,Middle Management,High,Outstanding
386,53,No,Research & Development,3,Medical,Male,Research Director,Married,West Virginia,17584,3,Yes,16,21,5,3,1,Masters,Middle Management,High,Excellent
1602,46,No,Sales,1,Life Sciences,Male,Manager,Single,Nevada,17567,1,No,15,27,26,0,0,Masters,Middle Management,Low,Excellent
1124,46,No,Sales,3,Marketing,Male,Manager,Married,Vermont,17465,3,No,12,23,12,9,4,College,Middle Management,High,Excellent
992,33,No,Sales,17,Life Sciences,Male,Manager,Single,Massachusetts,17444,1,No,11,10,10,8,6,Bachelors,Middle Management,High,Excellent
1665,54,No,Research & Development,22,Medical,Female,Manager,Married,West Virginia,17426,3,No,25,36,10,8,4,Doctorate,Middle Management,High,Outstanding
997,50,No,Research & Development,1,Medical,Male,Research Director,Divorced,Georgia,17399,9,No,22,32,5,4,1,College,Middle Management,Very High,Outstanding
148,54,No,Human Resources,26,Human Resources,Female,Manager,Single,Maryland,17328,2,Yes,12,23,5,3,4,Bachelors,Middle Management,Very High,Excellent
1422,54,No,Research & Development,1,Medical,Female,Research Director,Single,Louisiana,17328,6,No,19,29,20,7,12,Bachelors,Middle Management,Very High,Excellent
199,41,No,Research & Development,10,Life Sciences,Male,Manager,Divorced,Massachusetts,17181,4,No,13,21,7,6,7,Bachelors,Middle Management,Low,Excellent
1900,48,No,Research & Development,22,Medical,Female,Manager,Divorced,Washington,17174,3,No,11,24,22,17,4,Bachelors,Middle Management,Very High,Excellent
1443,47,No,Research & Development,2,Medical,Female,Research Director,Married,North Carolina,17169,3,No,19,26,20,17,5,Masters,Middle Management,High,Excellent
843,43,No,Research & Development,14,Life Sciences,Male,Research Director,Married,Hawaii,17159,6,No,24,22,4,1,1,College,Middle Management,Low,Outstanding
1307,39,No,Research & Development,13,Medical,Female,Manager,Divorced,Kansas,17123,6,Yes,13,21,19,9,15,Masters,Middle Management,Medium,Excellent
976,52,No,Research & Development,1,Life Sciences,Male,Manager,Married,New Jersey,17099,2,No,15,26,9,8,7,College,Middle Management,Very High,Excellent
429,39,No,Research & Development,10,Medical,Male,Manager,Married,Arkansas,17068,1,Yes,14,21,21,9,11,College,Middle Management,Low,Excellent
1204,46,No,Sales,2,Marketing,Female,Manager,Married,New York,17048,8,No,23,28,26,15,15,Bachelors,Middle Management,Low,Outstanding
569,50,No,Research & Development,29,Life Sciences,Male,Manager,Married,Washington,17046,0,No,15,28,27,10,15,Masters,Middle Management,High,Excellent
1485,34,No,Research & Development,15,Medical,Male,Research Director,Divorced,New Hampshire,17007,7,No,14,16,14,8,6,Bachelors,Middle Management,Low,Excellent
158,43,No,Sales,26,Life Sciences,Male,Manager,Married,New Jersey,16959,1,Yes,12,25,25,12,4,College,Middle Management,Very High,Excellent
1116,48,No,Research & Development,1,Medical,Male,Manager,Single,North Dakota,16885,2,No,22,27,5,4,2,Masters,Middle Management,Very High,Outstanding
1317,50,No,Research & Development,28,Life Sciences,Female,Research Director,Married,Nevada,16880,4,Yes,11,25,3,2,1,Bachelors,Middle Management,Low,Excellent
363,46,No,Sales,2,Technical Degree,Female,Manager,Married,New York,16872,3,Yes,12,28,7,7,7,Bachelors,Middle Management,Medium,Excellent
776,52,No,Sales,3,Marketing,Male,Manager,Married,Oregon,16856,1,No,11,34,34,6,1,Masters,Middle Management,Low,Excellent
597,55,No,Sales,18,Life Sciences,Female,Manager,Single,Hawaii,16835,3,No,23,37,10,9,7,Doctorate,Middle Management,Medium,Outstanding
1892,40,No,Research & Development,1,Life Sciences,Male,Manager,Divorced,Kansas,16823,2,No,11,22,19,7,11,Masters,Middle Management,Low,Excellent
1408,42,No,Human Resources,10,Human Resources,Female,Manager,Married,North Dakota,16799,0,No,14,21,20,7,0,Bachelors,Middle Management,Low,Excellent
264,45,No,Research & Development,2,Medical,Male,Manager,Married,New Mexico,16792,9,No,23,22,20,8,11,College,Middle Management,Very High,Outstanding
1074,55,No,Research & Development,2,Medical,Male,Manager,Single,South Carolina,16756,7,No,15,31,9,7,6,College,Middle Management,Low,Excellent
820,47,No,Research & Development,2,Other,Female,Manager,Married,Delaware,16752,1,Yes,11,26,26,14,3,College,Middle Management,Very High,Excellent
1719,45,No,Research & Development,28,Technical Degree,Female,Research Director,Single,Texas,16704,1,No,11,21,21,6,8,College,Middle Management,Medium,Excellent
505,55,No,Research & Development,2,Life Sciences,Female,Manager,Single,Delaware,16659,2,Yes,13,30,5,4,1,Bachelors,Middle Management,Very High,Excellent
661,43,No,Research & Development,6,Other,Male,Research Director,Divorced,Vermont,16627,4,Yes,14,21,1,0,0,Masters,Middle Management,Very High,Excellent
1527,46,No,Sales,3,Life Sciences,Female,Manager,Married,New Jersey,16606,8,No,12,23,13,12,5,Bachelors,Middle Management,Medium,Excellent
1472,53,No,Research & Development,2,Medical,Male,Research Director,Single,New York,16598,4,No,12,35,9,8,8,Bachelors,Middle Management,Medium,Excellent
625,41,No,Sales,2,Life Sciences,Female,Manager,Married,New Mexico,16595,7,No,16,22,18,16,11,Doctorate,Middle Management,Low,Excellent
546,52,No,Research & Development,4,Life Sciences,Female,Manager,Married,Wisconsin,16555,2,No,13,31,5,2,1,College,Middle Management,Very High,Excellent
1550,40,No,Human Resources,6,Medical,Male,Manager,Single,Colorado,16437,1,Yes,21,21,21,7,7,College,Middle Management,Very High,Outstanding
1430,31,No,Research & Development,8,Life Sciences,Female,Research Director,Single,North Carolina,16422,3,No,11,9,3,2,1,Doctorate,Middle Management,Medium,Excellent
1655,49,No,Research & Development,22,Other,Female,Research Director,Married,Mississippi,16413,3,No,16,27,4,2,1,Masters,Middle Management,Medium,Excellent
1523,44,No,Research & Development,28,Life Sciences,Male,Research Director,Married,Connecticut,16328,3,No,13,24,20,6,14,Bachelors,Middle Management,Low,Excellent
851,51,No,Sales,26,Marketing,Female,Manager,Married,Tennessee,16307,2,No,14,29,20,6,4,Masters,Middle Management,High,Excellent
1824,58,No,Sales,2,Medical,Male,Manager,Divorced,Idaho,16291,4,No,22,37,16,9,14,Bachelors,Middle Management,Medium,Outstanding
612,33,No,Research & Development,1,Medical,Female,Research Director,Divorced,Arizona,16184,4,No,19,10,6,1,0,Doctorate,Middle Management,High,Excellent
1264,29,No,Research & Development,1,Life Sciences,Female,Research Director,Divorced,Maine,16124,3,No,14,9,7,7,1,Bachelors,Middle Management,Very High,Excellent
327,43,No,Sales,16,Marketing,Female,Manager,Married,Illinois,16064,5,Yes,22,22,17,13,1,Bachelors,Middle Management,Very High,Outstanding
1520,54,No,Research & Development,11,Medical,Female,Manager,Divorced,Alabama,16032,3,No,20,26,14,9,1,Masters,Middle Management,Very High,Outstanding
410,41,No,Sales,2,Life Sciences,Male,Manager,Single,Rhode Island,16015,1,No,19,22,22,10,0,Masters,Middle Management,Medium,Excellent
468,42,No,Research & Development,23,Life Sciences,Female,Research Director,Single,Alabama,15992,2,No,14,16,1,0,0,Doctorate,Middle Management,Very High,Excellent
1676,47,No,Sales,2,Life Sciences,Female,Manager,Divorced,Wisconsin,15972,6,No,14,29,3,2,1,Masters,Middle Management,Medium,Excellent
1837,58,No,Research & Development,15,Life Sciences,Male,Research Director,Married,Pennsylvania,15787,2,Yes,14,23,2,2,2,Masters,Middle Management,High,Excellent
23,53,No,Sales,2,Life Sciences,Female,Manager,Married,Alaska,15427,2,No,16,31,25,8,3,Masters,Middle Management,Very High,Excellent
664,48,No,Research & Development,1,Life Sciences,Female,Manager,Married,Washington,15402,7,No,11,21,3,2,0,Masters,Middle Management,Low,Excellent
1677,49,No,Research & Development,1,Life Sciences,Male,Manager,Single,Indiana,15379,4,No,14,23,8,7,0,Bachelors,Middle Management,High,Excellent
1644,48,No,Research & Development,4,Medical,Male,Manager,Married,Texas,15202,2,No,25,23,2,2,2,Doctorate,Middle Management,Very High,Outstanding
981,53,No,Sales,2,Medical,Male,Manager,Divorced,Delaware,14852,6,No,13,22,17,13,15,College,Middle Management,High,Excellent
730,53,No,Research & Development,7,Life Sciences,Male,Research Director,Married,Texas,14814,3,No,19,32,5,1,1,Bachelors,Middle Management,High,Excellent
84,55,No,Research & Development,8,Medical,Female,Manager,Divorced,Pennsylvania,14756,2,Yes,14,21,5,0,0,Bachelors,Middle Management,High,Excellent
1424,55,No,Research & Development,1,Medical,Male,Research Director,Divorced,North Dakota,14732,2,No,13,31,7,7,0,Masters,Middle Management,Very High,Excellent
1539,50,No,Research & Development,22,Medical,Male,Research Director,Single,California,14411,1,Yes,13,32,32,6,13,Doctorate,Middle Management,Very High,Excellent
520,43,No,Research & Development,12,Life Sciences,Male,Research Director,Divorced,North Carolina,14336,1,No,11,25,25,10,3,Bachelors,Middle Management,Medium,Excellent
901,53,No,Research & Development,23,Life Sciences,Female,Research Director,Single,Georgia,14275,6,No,18,33,12,9,3,Masters,Middle Management,Very High,Excellent
568,57,No,Sales,29,Marketing,Male,Manager,Divorced,Arizona,14118,3,No,12,32,1,0,0,Bachelors,Middle Management,Very High,Excellent
1352,51,No,Human Resources,5,Life Sciences,Male,Manager,Divorced,Rhode Island,14026,1,Yes,11,33,33,9,0,Bachelors,Middle Management,Medium,Excellent
1005,50,No,Research & Development,24,Life Sciences,Male,Manufacturing Director,Married,North Carolina,13973,3,Yes,18,22,12,11,1,Bachelors,Middle Management,High,Excellent
1661,49,No,Research & Development,6,Life Sciences,Female,Healthcare Representative,Married,Pennsylvania,13966,2,Yes,19,30,15,11,2,College,Middle Management,High,Excellent
431,49,No,Research & Development,1,Technical Degree,Female,Healthcare Representative,Single,Oklahoma,13964,7,Yes,12,25,7,1,0,College,Middle Management,High,Excellent
131,58,No,Sales,10,Medical,Male,Sales Executive,Single,Tennessee,13872,0,No,13,38,37,10,1,Masters,Middle Management,High,Excellent
867,52,No,Research & Development,25,Medical,Female,Manufacturing Director,Married,Ohio,13826,3,No,22,31,9,8,0,Masters,Middle Management,Very High,Outstanding
746,47,No,Sales,3,Medical,Female,Sales Executive,Divorced,Colorado,13770,9,Yes,12,28,22,2,11,Bachelors,Middle Management,High,Excellent
1167,42,Yes,Sales,12,Life Sciences,Male,Sales Executive,Single,Texas,13758,0,Yes,12,22,21,9,13,Bachelors,Middle Management,Low,Excellent
1468,40,No,Research & Development,8,Medical,Male,Research Director,Divorced,Iowa,13757,2,No,11,16,9,8,4,College,First Level Management,Medium,Excellent
2017,37,No,Research & Development,10,Life Sciences,Female,Research Director,Married,North Dakota,13744,1,Yes,25,16,16,11,6,Bachelors,First Level Management,Very High,Outstanding
258,51,No,Research & Development,3,Medical,Female,Healthcare Representative,Single,Nebraska,13734,3,No,18,21,7,7,1,Bachelors,Middle Management,Medium,Excellent
1032,59,No,Research & Development,2,Life Sciences,Female,Manufacturing Director,Single,Michigan,13726,3,Yes,13,30,5,3,4,Bachelors,Middle Management,Very High,Excellent
1372,55,Yes,Sales,13,Marketing,Male,Sales Executive,Single,Alabama,13695,6,Yes,17,24,19,7,3,Masters,Middle Management,High,Excellent
337,31,No,Research & Development,3,Medical,Male,Research Director,Divorced,North Carolina,13675,9,No,12,9,2,2,2,Masters,First Level Management,High,Excellent
102,37,No,Research & Development,7,Medical,Male,Research Director,Single,South Carolina,13664,4,No,13,16,5,2,0,Masters,First Level Management,High,Excellent
582,33,Yes,Research & Development,15,Medical,Male,Manager,Married,Maryland,13610,7,Yes,12,15,7,6,7,College,First Level Management,High,Excellent
380,37,No,Research & Development,1,Medical,Female,Research Director,Divorced,Iowa,13603,2,Yes,18,15,5,2,0,Masters,First Level Management,Very High,Excellent
298,41,No,Sales,6,Life Sciences,Female,Manager,Single,Utah,13591,3,Yes,18,16,1,0,0,Bachelors,First Level Management,Very High,Excellent
950,38,No,Research & Development,1,Technical Degree,Female,Research Director,Married,California,13582,1,No,13,15,15,12,5,Bachelors,First Level Management,Low,Excellent
1278,55,No,Research & Development,8,Medical,Male,Healthcare Representative,Divorced,Vermont,13577,1,Yes,15,34,33,9,15,College,Middle Management,Medium,Excellent
2034,41,No,Research & Development,28,Life Sciences,Female,Manufacturing Director,Married,Kentucky,13570,0,No,23,21,20,7,0,Masters,Middle Management,Medium,Outstanding
126,54,No,Research & Development,2,Technical Degree,Female,Research Director,Married,California,13549,9,No,12,16,4,3,0,Masters,First Level Management,High,Excellent
404,42,No,Sales,26,Marketing,Female,Sales Executive,Married,Colorado,13525,5,No,14,23,20,4,4,Bachelors,Middle Management,Medium,Excellent
119,40,No,Research & Development,1,Life Sciences,Male,Healthcare Representative,Married,North Dakota,13503,1,No,22,22,22,3,11,Masters,Middle Management,Medium,Outstanding
1166,40,No,Research & Development,9,Medical,Female,Research Director,Single,Louisiana,13499,9,No,17,20,18,7,2,Masters,First Level Management,High,Excellent
372,45,No,Research & Development,20,Medical,Male,Healthcare Representative,Married,Nevada,13496,0,Yes,14,21,20,7,4,College,Middle Management,Very High,Excellent
1800,39,No,Research & Development,10,Medical,Male,Research Director,Single,South Dakota,13464,7,No,21,9,4,3,2,College,First Level Management,High,Outstanding
73,33,No,Research & Development,1,Life Sciences,Female,Research Director,Single,Texas,13458,1,Yes,12,15,15,14,8,College,First Level Management,Very High,Excellent
1373,56,No,Research & Development,23,Life Sciences,Male,Manufacturing Director,Married,Pennsylvania,13402,4,Yes,12,33,19,16,15,Bachelors,Middle Management,Medium,Excellent
1911,42,No,Research & Development,6,Medical,Male,Research Director,Married,Montana,13348,9,No,13,18,13,7,5,Bachelors,First Level Management,Low,Excellent
1975,39,No,Sales,15,Marketing,Male,Sales Executive,Single,Kansas,13341,0,No,12,21,20,8,11,Masters,Middle Management,Low,Excellent
1039,44,No,Sales,28,Medical,Female,Sales Executive,Married,West Virginia,13320,3,Yes,18,23,12,11,11,Bachelors,Middle Management,Very High,Excellent
1656,50,No,Research & Development,17,Life Sciences,Female,Research Director,Divorced,Indiana,13269,5,No,15,19,14,11,1,Doctorate,First Level Management,Low,Excellent
1401,52,No,Research & Development,28,Medical,Female,Manufacturing Director,Married,Hawaii,13247,2,Yes,11,24,5,3,0,College,Middle Management,High,Excellent
101,45,No,Research & Development,6,Other,Male,Research Director,Married,Hawaii,13245,4,Yes,14,17,0,0,0,Masters,First Level Management,Low,Excellent
601,40,No,Research & Development,6,Life Sciences,Female,Manufacturing Director,Single,Nevada,13237,7,No,15,22,20,6,5,Bachelors,Middle Management,High,Excellent
1863,46,No,Sales,3,Technical Degree,Female,Sales Executive,Divorced,Maryland,13225,2,No,12,25,19,17,2,Bachelors,Middle Management,Low,Excellent
532,56,No,Sales,6,Life Sciences,Female,Sales Executive,Married,Wisconsin,13212,9,No,11,36,7,7,7,Bachelors,Middle Management,Low,Excellent
2015,38,No,Research & Development,10,Medical,Female,Research Director,Married,West Virginia,13206,3,No,12,20,18,16,1,Bachelors,First Level Management,High,Excellent
986,40,Yes,Sales,24,Life Sciences,Female,Sales Executive,Single,Ohio,13194,4,Yes,16,22,1,0,0,Bachelors,Middle Management,Medium,Excellent
1242,42,No,Research & Development,26,Medical,Female,Research Director,Married,West Virginia,13191,3,Yes,17,20,1,0,0,Doctorate,First Level Management,Low,Excellent
1367,51,No,Research & Development,11,Technical Degree,Female,Manufacturing Director,Single,Delaware,13142,3,No,16,29,5,2,0,College,Middle Management,Medium,Excellent
1138,49,No,Sales,8,Technical Degree,Male,Sales Executive,Married,Montana,13120,6,No,17,22,9,8,2,Masters,Middle Management,Medium,Excellent
1786,51,No,Research & Development,3,Technical Degree,Female,Manager,Married,Iowa,13116,2,No,11,15,2,2,2,Bachelors,First Level Management,High,Excellent
1775,53,No,Research & Development,1,Medical,Female,Manufacturing Director,Married,Kentucky,12965,4,Yes,20,27,3,2,0,Masters,Middle Management,High,Outstanding
1716,47,Yes,Sales,9,Life Sciences,Male,Sales Executive,Married,New Hampshire,12936,7,No,11,25,23,5,14,Bachelors,Middle Management,High,Excellent
844,27,No,Research & Development,5,Technical Degree,Male,Research Director,Divorced,California,12808,1,Yes,16,9,9,8,0,College,First Level Management,Very High,Excellent
